Data Sources:,,,,,,,,,,,
"U.S. Census Bureau, American Community Survey (ACS), 5-year estimates, 2018–2022",,,,,,,,,,,
"U.S. Census Bureau, American Community Survey Public Use Microdata Sample (PUMS), 5-year data, 2018–2022",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
STATE,COUNTY,TRACT,FIPSCODE,PUMA,civ_employed_16plus,Outdoor heat exposure - Number,Indoor heat exposure - Number,Heat Exposure (outdoor or indoor) - Number,Outdoor Heat Exposure Percent,Indoor Heat Exposure Percent,Heat Exposure (outdoor or indoor) Percent
34,Atlantic County,100,34001000100,101,1023,111.63,28.24,118.13,10.91,2.76,11.55
34,Atlantic County,200,34001000200,101,1720,294.95,123.24,359.23,17.15,7.16,20.89
34,Atlantic County,300,34001000300,101,1724,208.29,49.33,220.07,12.08,2.86,12.77
34,Atlantic County,400,34001000400,101,1801,236.68,58.38,271.25,13.14,3.24,15.06
34,Atlantic County,500,34001000500,101,1439,227.09,60.51,239.33,15.78,4.2,16.63
34,Atlantic County,1100,34001001100,101,436,32.59,5.47,35.05,7.47,1.25,8.04
34,Atlantic County,1200,34001001200,101,1191,337.91,127.23,388.38,28.37,10.68,32.61
34,Atlantic County,1300,34001001300,101,863,139.12,31.83,152.34,16.12,3.69,17.65
34,Atlantic County,1400,34001001400,101,1254,251.4,87.68,288.53,20.05,6.99,23.01
34,Atlantic County,1500,34001001500,101,296,74.84,17.9,83.43,25.28,6.05,28.19
34,Atlantic County,1900,34001001900,101,642,109.63,74.26,145.7,17.08,11.57,22.7
34,Atlantic County,2300,34001002300,101,1082,149.65,50.1,178.71,13.83,4.63,16.52
34,Atlantic County,2400,34001002400,101,810,130.74,40.29,146.85,16.14,4.97,18.13
34,Atlantic County,2500,34001002500,101,1175,148.81,36.99,165.34,12.66,3.15,14.07
34,Atlantic County,10101,34001010101,101,1908,208.08,109.41,250.5,10.91,5.73,13.13
34,Atlantic County,10102,34001010102,101,693,52.38,15.37,57.92,7.56,2.22,8.36
34,Atlantic County,10104,34001010104,101,473,34.94,10.42,39.69,7.39,2.2,8.39
34,Atlantic County,10105,34001010105,101,905,111.67,34.49,128.17,12.34,3.81,14.16
34,Atlantic County,10200,34001010200,101,2930,244.53,98.84,294.73,8.35,3.37,10.06
34,Atlantic County,10300,34001010300,101,1007,144.83,45.81,164.03,14.38,4.55,16.29
34,Atlantic County,10401,34001010401,101,2661,415.01,190.92,490.16,15.6,7.17,18.42
34,Atlantic County,10403,34001010403,101,3719,562.87,179.21,632.35,15.14,4.82,17
34,Atlantic County,10501,34001010501,101,3577,443.21,157.64,516.04,12.39,4.41,14.43
34,Atlantic County,10503,34001010503,101,3677,507.68,171.98,574.91,13.81,4.68,15.64
34,Atlantic County,10505,34001010505,101,1679,172.09,44.51,187.98,10.25,2.65,11.2
34,Atlantic County,10506,34001010506,101,2432,350.61,124.02,385.35,14.42,5.1,15.84
34,Atlantic County,10600,34001010600,101,1970,257.27,91.36,302.12,13.06,4.64,15.34
34,Atlantic County,10700,34001010700,102,3158,401.25,133.79,474.19,12.71,4.24,15.02
34,Atlantic County,10800,34001010800,102,1422,287.98,115.78,341.28,20.25,8.14,24
34,Atlantic County,10900,34001010900,102,3044,558.67,158.61,647.43,18.35,5.21,21.27
34,Atlantic County,11000,34001011000,102,1601,265.37,65.9,293.19,16.58,4.12,18.31
34,Atlantic County,11100,34001011100,102,1464,259.66,81.23,319.06,17.74,5.55,21.79
34,Atlantic County,11201,34001011201,102,954,153.29,47.39,175.02,16.07,4.97,18.35
34,Atlantic County,11202,34001011202,102,3461,582.5,208.44,681.84,16.83,6.02,19.7
34,Atlantic County,11300,34001011300,102,2314,312.5,135.74,385.66,13.5,5.87,16.67
34,Atlantic County,11401,34001011401,102,2240,310.31,118.74,375.2,13.85,5.3,16.75
34,Atlantic County,11403,34001011403,102,3320,454.97,115.38,510.94,13.7,3.48,15.39
34,Atlantic County,11404,34001011404,102,4550,482.38,151.51,558.4,10.6,3.33,12.27
34,Atlantic County,11500,34001011500,102,2559,344.65,111.64,409.28,13.47,4.36,15.99
34,Atlantic County,11600,34001011600,102,2085,390.99,137.02,446.58,18.75,6.57,21.42
34,Atlantic County,11702,34001011702,102,1764,236.86,81.4,278.59,13.43,4.61,15.79
34,Atlantic County,11703,34001011703,102,2183,205.53,85.63,256.93,9.41,3.92,11.77
34,Atlantic County,11704,34001011704,102,2247,346.34,116.01,408.42,15.41,5.16,18.18
34,Atlantic County,11803,34001011803,102,2980,398.03,112.1,452.01,13.36,3.76,15.17
34,Atlantic County,11804,34001011804,102,4074,584.01,184.88,667.7,14.33,4.54,16.39
34,Atlantic County,11805,34001011805,102,1246,143,51.72,165.13,11.48,4.15,13.25
34,Atlantic County,11806,34001011806,102,4012,336.34,129.59,401.8,8.38,3.23,10.01
34,Atlantic County,11807,34001011807,102,2941,524.07,172.44,605.96,17.82,5.86,20.6
34,Atlantic County,11808,34001011808,102,1758,221.42,77.37,256.97,12.59,4.4,14.62
34,Atlantic County,11901,34001011901,102,1403,277.7,121.25,356.47,19.79,8.64,25.41
34,Atlantic County,11902,34001011902,101,2398,225.25,70.34,268.53,9.39,2.93,11.2
34,Atlantic County,12000,34001012000,101,1566,197.7,100.13,252.83,12.62,6.39,16.15
34,Atlantic County,12100,34001012100,101,1429,211.36,119.16,296.4,14.79,8.34,20.74
34,Atlantic County,12200,34001012200,101,2685,493.44,144.59,556.36,18.38,5.39,20.72
34,Atlantic County,12302,34001012302,101,1783,190.26,63.16,209.52,10.67,3.54,11.75
34,Atlantic County,12401,34001012401,101,1381,126.5,61.98,149.24,9.16,4.49,10.81
34,Atlantic County,12402,34001012402,101,1078,108.22,36.07,115.06,10.04,3.35,10.67
34,Atlantic County,12501,34001012501,101,1157,83.88,28.78,96.92,7.25,2.49,8.38
34,Atlantic County,12502,34001012502,102,791,98.62,34.56,111.41,12.47,4.37,14.08
34,Atlantic County,12602,34001012602,101,667,111.43,47.71,116.6,16.71,7.15,17.48
34,Atlantic County,12701,34001012701,2601,1987,256.35,82.32,289.48,12.9,4.14,14.57
34,Atlantic County,12702,34001012702,2601,657,56.25,11.22,62.06,8.56,1.71,9.45
34,Atlantic County,12801,34001012801,2601,1782,273.86,84.86,301.35,15.37,4.76,16.91
34,Atlantic County,12802,34001012802,2601,870,108.4,40.13,122.77,12.46,4.61,14.11
34,Atlantic County,13000,34001013000,101,1394,170.39,60.29,181.28,12.22,4.32,13
34,Atlantic County,13101,34001013101,101,515,30.9,6.41,32.48,6,1.24,6.31
34,Atlantic County,13102,34001013102,101,568,33.53,13.45,36.9,5.9,2.37,6.5
34,Atlantic County,13201,34001013201,101,1150,107.82,43.37,122.85,9.38,3.77,10.68
34,Atlantic County,13202,34001013202,101,1028,141.43,64.01,156.62,13.76,6.23,15.23
34,Atlantic County,13301,34001013301,101,839,105.58,35.16,123.63,12.58,4.19,14.74
34,Atlantic County,13302,34001013302,101,1449,133.81,28.22,140.87,9.23,1.95,9.72
34,Atlantic County,13500,34001013500,101,1340,177.93,52.14,188.95,13.28,3.89,14.1
34,Atlantic County,983400,34001983400,101,1230,83.31,27.01,96.85,6.77,2.2,7.87
34,Bergen County,1001,34003001001,306,1350,97.38,25.94,102.04,7.21,1.92,7.56
34,Bergen County,1002,34003001002,306,1630,97.62,37.95,114.65,5.99,2.33,7.03
34,Bergen County,2100,34003002100,305,580,29.3,7.61,32.22,5.05,1.31,5.56
34,Bergen County,2200,34003002200,305,2418,318.38,100.23,363.87,13.17,4.15,15.05
34,Bergen County,2300,34003002300,305,2737,230.92,76.3,272.07,8.44,2.79,9.94
34,Bergen County,3100,34003003100,307,3081,355.3,133.24,431.67,11.53,4.32,14.01
34,Bergen County,3200,34003003200,307,2592,346.98,101.65,401.17,13.39,3.92,15.48
34,Bergen County,3300,34003003300,307,4151,431.98,152.82,525.88,10.41,3.68,12.67
34,Bergen County,3401,34003003401,307,1203,98.79,34.91,125.57,8.21,2.9,10.44
34,Bergen County,3402,34003003402,307,1595,112.33,59.97,154.71,7.04,3.76,9.7
34,Bergen County,3500,34003003500,307,2092,296.96,117.56,372.4,14.19,5.62,17.8
34,Bergen County,4001,34003004001,301,2138,155.57,65.6,203.86,7.28,3.07,9.53
