industry_occupation,code_2_digit,indoors_controlled,outdoors_exposed,outdoors_undercover,very_hot_very_cold,weighted_exposure,total_exposure,indoors_controlled_scaled,outdoors_exposed_scaled,outdoors_undercover_scaled,total_exposure_z
MANAGEMENT BUSINESS SCIENCE AND ARTS OCCUPATIONS,11,22.668161434977577,21.941573033707865,15.185897435897436,17.474157303370788,20.132846874745653,19.931877301527628,-0.6392228077470502,-0.678293061680024,-0.4615687083607944,-0.5930281925959562
SERVICE OCCUPATIONS,31,27.072164948453608,38.36082474226804,23.753086419753085,34.1958762886598,30.591905307369228,29.728692036824913,-0.3962983697007655,0.1438840465946298,0.24217736718762148,-0.0034123186395047245
NATURAL RESOURCES CONSTRUCTION AND MAINTENANCE OCCUPATIONS,45,59.666666666666664,71.04065040650407,41.27642276422764,65.39024390243902,58.69918699186992,57.327913279132794,1.401611416035527,1.7802926381952717,1.681620247014104,1.6211747670816343
PRODUCTION TRANSPORTATION AND MATERIAL MOVING OCCUPATIONS,51,51.458064516129035,37.42948717948718,22.262820512820515,53.56410256410256,37.08806038047974,37.05012406947891,0.9488256590616455,0.09724827793803982,0.1197604594359962,0.38861146547856057
SALES AND OFFICE OCCUPATIONS,43,16.305555555555557,18.430555555555557,5.098039215686274,17.15277777777778,13.793300653594772,13.278050108932462,-0.9901835762929934,-0.8541036435827342,-1.2902291530574874,-1.0448387909777381
AGRICULTURE FORESTRY FISHING AND HUNTING AND MINING,11,48.483870967741936,55.946236559139784,34.5,48.483870967741936,47.273655913978494,46.31003584229391,0.7847694102026256,1.0244554204944942,1.1249754787512796,0.9780667698161332
TRANSPORTATION AND WAREHOUSING AND UTILITIES,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CONSTRUCTION,23,57.93421052631579,61.43421052631579,38.14666666666667,57.93421052631579,53.39794736842106,52.50502923976608,1.3060492910175123,1.2992600612118888,1.4245285013746838,1.343279284534695
WHOLESALE TRADE,42,53.857142857142854,61.70422535211268,35.23529411764706,53.857142857142854,51.409421233282046,50.265554108967535,1.0811586047635444,1.3127807753470666,1.1853757279629025,1.1931050360245046
INFORMATION,51,11.518518518518519,7.962962962962963,6.8076923076923075,11.518518518518519,8.683048433048434,8.763057929724596,-1.2542361090783545,-1.3782575551698326,-1.1497908300187702,-1.2607614980889859
FINANCE AND INSURANCE AND REAL ESTATE AND RENTAL AND LEASING,52,11.96875,14.75,7.433333333333334,11.96875,11.720625,11.38402777777778,-1.2294013810189963,-1.038403669992174,-1.0983979615613726,-1.1220676708575144
PROFESSIONAL SCIENTIFIC AND MANAGEMENT AND ADMINISTRATIVE AND WASTE MANAGEMENT SERVICES,54,28.163636363636364,37.07272727272727,19.346153846153847,28.163636363636364,29.082027972027973,28.194172494172495,-0.3360929045222016,0.07938389326968875,-0.11982719577010867,-0.1255120690075405
EDUCATIONAL SERVICES AND HEALTH CARE AND SOCIAL ASSISTANCE,61,18.073529411764707,19.63235294117647,11.692307692307692,18.073529411764707,16.782692307692308,16.466063348416288,-0.8926622972599656,-0.7939248780226263,-0.7485473283329419,-0.811711501205178
ARTS ENTERTAINMENT AND RECREATION AND ACCOMMODATION AND FOOD SERVICES AND RETAIL TRADE,71,22.88372093023256,28.41860465116279,15.820512820512821,22.88372093023256,22.97871198568873,22.374279467302724,-0.6273325653596126,-0.3539623784086136,-0.40943864711814737,-0.4635778636287912
MANUFACTURING,31,49.53982300884956,22.699115044247787,14.710280373831775,49.53982300884956,28.354677032503517,28.983072808976374,0.8430156298990834,-0.6403599261950759,-0.500637957506964,-0.09932741793431883
